광역단체,기초단체,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,전송사업자명
충청남도,아산시,CGV 아산,6,636,0,6,1,0,0,CJ올리브네트웍스(주)
부산시,영도구,CGV 드라이브 인 영도,1,142,0,1,0,0,0,CJ올리브네트웍스(주)
서울시,광진구,CGV 건대입구,5,754,0,5,2,0,0,CJ올리브네트웍스(주)
충청남도,천안시,롯데시네마 천안불당,6,658,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
대구시,동구,롯데시네마 대구율하,6,"1,394",0,6,3,0,0,롯데컬처웍스(주)롯데시네마
서울시,광진구,롯데시네마 건대입구,10,"2,138",0,11,5,0,0,롯데컬처웍스(주)롯데시네마
제주도,제주시,롯데시네마 제주아라,6,592,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
제주도,제주시,롯데시네마 제주연동,6,755,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,양산시,롯데시네마 양산물금,5,454,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,김해시,롯데시네마 김해아울렛,6,"1,023",0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,사천시,롯데시네마 사천,6,629,0,6,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,통영시,롯데시네마 통영,7,858,0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,진주시,롯데시네마 엠비씨네(진주),9,943,0,9,3,0,0,롯데컬처웍스(주)롯데시네마
경상남도,창원시 성산구,롯데시네마 창원,7,"1,319",0,7,4,0,0,롯데컬처웍스(주)롯데시네마
경상북도,상주시,롯데시네마 상주,4,471,0,4,0,0,0,롯데컬처웍스(주)롯데시네마
경상북도,영천시,롯데시네마 영천,6,612,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상북도,구미시,롯데시네마 구미공단,8,"1,204",0,8,2,0,0,롯데컬처웍스(주)롯데시네마
경상북도,구미시,롯데시네마 프리미엄구미센트럴,7,513,0,7,0,0,0,롯데컬처웍스(주)롯데시네마
경상북도,안동시,롯데시네마 프리미엄 안동,5,343,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,김해시,CGV 김해,9,"1,531",0,9,4,1,0,CJ올리브네트웍스(주)
경상북도,경주시,롯데시네마 경주,2,279,0,2,1,0,0,롯데컬처웍스(주)롯데시네마
경상북도,포항시,롯데시네마 포항,8,712,0,8,0,0,0,롯데컬처웍스(주)롯데시네마
전라북도,전주시,CGV 전주고사,8,"1,275",0,8,4,1,0,CJ올리브네트웍스(주)
전라북도,군산시,롯데시네마 군산나운,7,"1,085",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
전라북도,전주시,롯데시네마 전주(백화점),8,"1,632",0,8,4,0,0,롯데컬처웍스(주)롯데시네마
충청남도,당진군,롯데시네마 당진,7,704,0,7,2,0,0,롯데컬처웍스(주)롯데시네마
충청남도,서산시,롯데시네마 서산,7,945,0,7,3,0,0,롯데컬처웍스(주)롯데시네마
충청북도,충주시,롯데시네마 충주,5,746,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
충청북도,청주시,롯데시네마 청주용암,8,"1,282",0,8,2,0,0,롯데컬처웍스(주)롯데시네마
서울시,영등포구,롯데시네마 영등포,7,"1,328",0,7,4,0,0,롯데컬처웍스(주)롯데시네마
강원도,동해시,롯데시네마 동해,5,719,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
강원도,원주시,롯데시네마 남원주,7,687,0,7,1,0,0,롯데컬처웍스(주)롯데시네마
강원도,춘천시,롯데시네마 춘천,6,448,0,6,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,화성시,롯데시네마 향남,5,680,0,5,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,화성시,롯데시네마 동탄,6,"1,117",0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,안성시,롯데시네마 안성,2,164,0,2,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,파주시,롯데시네마 파주운정,7,"1,238",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,용인시,롯데시네마 용인역북,7,"1,002",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,용인시,롯데시네마 수지,8,"1,331",0,8,4,0,0,롯데컬처웍스(주)롯데시네마
경기도,하남시,롯데시네마 하남미사,8,890,0,8,1,0,0,롯데컬처웍스(주)롯데시네마
경기도,시흥시,롯데시네마 시흥장현,5,652,0,5,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,시흥시,롯데시네마 시화,8,524,0,8,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,남양주시,롯데시네마 마석,2,172,0,2,1,0,0,롯데컬처웍스(주)롯데시네마
경기도,남양주시,롯데시네마 별내,5,775,0,5,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,구리시,롯데시네마 구리아울렛,7,"1,115",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,고양시,롯데시네마 주엽,6,474,0,9,0,0,0,롯데컬처웍스(주)롯데시네마
충청북도,청주시,CGV 청주(서문),10,"1,821",0,10,3,0,0,CJ올리브네트웍스(주)
강원도,원주시,CGV 원주,10,"1,947",0,11,3,0,0,CJ올리브네트웍스(주)
강원도,춘천시,CGV 춘천,12,"1,714",0,14,5,0,1,CJ올리브네트웍스(주)
경기도,고양시,롯데시네마 라페스타(일산),8,745,0,8,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,안산시,롯데시네마 안산(롯데마트)_Charlotte관,1,32,0,1,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,안산시,롯데시네마 안산,7,"1,575",0,7,3,0,0,롯데컬처웍스(주)롯데시네마
경기도,안산시,롯데시네마 안산고잔,7,"1,788",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,안산시,롯데시네마 센트럴락(안산),9,"1,429",0,9,3,0,0,롯데컬처웍스(주)롯데시네마
경기도,평택시,롯데시네마 송탄,5,932,0,5,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,광명시,롯데시네마 광명,6,"1,042",0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,부천시,롯데시네마 부천역,9,806,0,9,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,진주시,메가박스 진주중안,9,907,0,9,1,0,0,메가박스(주)
경상남도,양산시,메가박스 양산,6,528,0,6,2,0,0,메가박스(주)
경상남도,사천시,메가박스 삼천포,3,90,0,3,3,0,0,메가박스(주)
경상남도,창원시 성산구,메가박스 창원,7,"1,104",0,7,0,0,0,메가박스(주)
경상남도,창원시 마산회원구,메가박스 창원내서,5,497,0,5,0,0,0,메가박스(주)
경상남도,창원시 마산합포구,메가박스 마산,6,"1,043",0,6,0,0,0,메가박스(주)
경상북도,예천군,메가박스 경북도청,6,471,0,6,1,0,0,메가박스(주)
경기도,부천시,CGV 부천역,8,"1,119",0,8,1,0,0,CJ올리브네트웍스(주)
경상북도,경산시,메가박스 경산하양,5,573,0,5,1,0,0,메가박스(주)
경상북도,문경시,메가박스 문경,3,259,0,3,0,0,0,메가박스(주)
경상북도,구미시,메가박스 구미강동,6,976,0,6,2,0,0,메가박스(주)
경상북도,경주시,메가박스 경주,3,359,0,3,0,0,0,메가박스(주)
경상북도,포항시,메가박스 포항,7,868,0,7,0,0,0,메가박스(주)
경상북도,포항시,메가박스 남포항,6,663,0,6,1,0,0,메가박스(주)
경기도,안양시,롯데시네마 안양(안양역),7,"1,114",0,7,3,0,0,롯데컬처웍스(주)롯데시네마
경기도,안양시,롯데시네마 인덕원,6,916,0,6,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,안양시,CGV 평촌,10,"1,391",0,10,3,0,0,CJ올리브네트웍스(주)
경기도,안양시,롯데시네마 평촌(범계역)_Charlotte관,1,30,0,1,0,0,0,롯데컬처웍스(주)롯데시네마
경기도,안양시,롯데시네마 평촌(범계역),7,"1,492",0,7,4,1,0,롯데컬처웍스(주)롯데시네마
경기도,성남시,CGV 판교,7,"1,282",0,7,4,1,1,CJ올리브네트웍스(주)
경기도,성남시,롯데시네마 판교,7,"1,087",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,성남시,롯데시네마 성남중앙,9,"1,234",0,9,4,0,0,롯데컬처웍스(주)롯데시네마
경기도,수원시,롯데시네마 북수원,5,640,0,5,2,0,0,롯데컬처웍스(주)롯데시네마
경기도,수원시,롯데시네마 광교아울렛,6,889,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
광주시,서구,CGV 광주상무,13,"2,527",0,14,1,0,0,CJ올리브네트웍스(주)
경기도,수원시,롯데시네마 수원,8,"1,895",0,8,3,1,0,롯데컬처웍스(주)롯데시네마
경기도,수원시,롯데시네마 서수원,6,791,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
울산시,남구,롯데시네마 울산(백화점),9,"1,480",0,9,4,1,0,롯데컬처웍스(주)롯데시네마
인천시,계양구,CGV 계양,8,"1,257",0,8,5,1,0,CJ올리브네트웍스(주)
울산시,중구,롯데시네마 울산성남,7,"1,123",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
대전시,서구,롯데시네마 대전관저,7,"1,067",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
대전시,서구,롯데시네마 대전(백화점),8,"1,144",0,8,2,0,0,롯데컬처웍스(주)롯데시네마
전라남도,순천시,메가박스 순천,7,920,0,7,7,0,0,메가박스(주)
전라북도,전주시,메가박스 전주혁신,7,732,0,7,1,0,0,메가박스(주)
전라남도,여수시,메가박스 여수웅천,8,"1,138",0,8,1,0,0,메가박스(주)
전라북도,전주시,메가박스 전주송천,8,"1,058",0,8,6,0,0,메가박스(주)
광주시,광산구,롯데시네마 수완,7,"1,397",0,7,4,1,0,롯데컬처웍스(주)롯데시네마
광주시,광산구,롯데시네마 광주광산,8,733,0,8,1,0,0,롯데컬처웍스(주)롯데시네마
광주시,동구,롯데시네마 충장로,9,693,0,9,8,0,0,롯데컬처웍스(주)롯데시네마
서울시,강서구,롯데시네마 가양,6,444,0,6,0,0,0,롯데컬처웍스(주)롯데시네마
인천시,부평구,롯데시네마 부평갈산,7,"1,034",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
충청남도,공주시,메가박스 공주,7,802,0,7,3,0,0,메가박스(주)
충청남도,천안시,메가박스 천안,9,"1,306",0,9,0,0,0,메가박스(주)
강원도,원주시,메가박스 원주센트럴,9,767,0,9,1,0,0,메가박스(주)
강원도,춘천시,메가박스 춘천석사,6,987,0,6,0,0,0,메가박스(주)
경기도,양주시,메가박스 양주,4,338,0,4,2,0,0,메가박스(주)
경기도,화성시,메가박스 동탄,8,716,0,8,2,0,0,메가박스(주)
경기도,김포시,메가박스 김포한강신도시,5,712,0,5,1,0,0,메가박스(주)
경기도,파주시,메가박스 파주출판도시,9,"1,653",0,9,1,0,0,메가박스(주)
경기도,파주시,메가박스 파주운정,7,882,0,7,2,0,0,메가박스(주)
대구시,북구,CGV 대구,8,"1,528",0,6,0,1,1,CJ올리브네트웍스(주)
경기도,용인시,메가박스 용인기흥,6,254,0,6,0,0,0,메가박스(주)
경기도,하남시,메가박스 하남스타필드,11,"1,523",0,11,2,0,0,메가박스(주)
서울시,성동구,메가박스 성수,7,"1,041",0,7,0,0,0,메가박스(주)
경기도,하남시,메가박스 미사강변,5,250,0,5,0,0,0,메가박스(주)
경기도,군포시,메가박스 금정AK플라자,7,613,0,7,0,0,0,메가박스(주)
경기도,남양주시,메가박스 남양주현대아울렛 스페이스원,8,"1,215",0,8,2,0,0,메가박스(주)
경기도,고양시,메가박스 킨텍스,8,"1,720",0,8,0,0,0,메가박스(주)
경기도,고양시,메가박스 고양스타필드,9,"1,214",0,9,0,0,0,메가박스(주)
경기도,안산시,메가박스 안산중앙,6,371,0,6,0,0,0,메가박스(주)
경기도,부천시,메가박스 부천스타필드시티,5,829,0,5,0,0,0,메가박스(주)
경기도,의정부시,메가박스 의정부민락,6,"1,098",0,6,2,0,0,메가박스(주)
인천시,부평구,롯데시네마 부평역사,9,"1,290",0,9,2,0,0,롯데컬처웍스(주)롯데시네마
인천시,남구,롯데시네마 인천터미널,4,538,0,4,1,0,0,롯데컬처웍스(주)롯데시네마
대구시,달성군,롯데시네마 대구현풍,6,734,0,6,1,0,0,롯데컬처웍스(주)롯데시네마
부산시,부산진구,CGV 서면상상마당,6,660,0,6,0,0,0,CJ올리브네트웍스(주)
경기도,수원시,메가박스 영통,11,"1,819",0,11,2,0,0,메가박스(주)
경기도,수원시,메가박스 수원호매실,5,459,0,5,0,0,0,메가박스(주)
세종시,연기군,메가박스 세종(조치원),5,749,0,5,2,0,0,메가박스(주)
세종시,연기군,메가박스 세종청사,6,682,0,6,0,0,0,메가박스(주)
세종시,연기군,메가박스 세종나성,5,759,0,5,0,0,0,메가박스(주)
울산시,중구,메가박스 울산,8,"1,141",0,8,1,0,0,메가박스(주)
대구시,중구,롯데시네마 프리미엄 만경,9,663,0,9,0,0,0,롯데컬처웍스(주)롯데시네마
부산시,금정구,롯데시네마 오투(부산대),7,"1,049",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
부산시,해운대구,롯데시네마 프리미엄 해운대(장산역),10,827,0,10,3,0,0,롯데컬처웍스(주)롯데시네마
부산시,동래구,롯데시네마 동래,9,"1,581",0,9,4,0,0,롯데컬처웍스(주)롯데시네마
부산시,부산진구,롯데시네마 서면(전포동),6,"1,232",0,7,3,0,0,롯데컬처웍스(주)롯데시네마
부산시,부산진구,롯데시네마 부산본점,11,"2,062",0,11,5,0,0,롯데컬처웍스(주)롯데시네마
부산시,중구,롯데시네마 광복,10,"2,369",0,10,4,1,0,롯데컬처웍스(주)롯데시네마
부산시,중구,롯데시네마 대영,6,982,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
서울시,강동구,롯데시네마 강동,10,"1,846",0,10,1,0,0,롯데컬처웍스(주)롯데시네마
서울시,송파구,롯데시네마 월드타워_샤롯데,3,72,0,3,1,0,0,롯데컬처웍스(주)롯데시네마
서울시,송파구,롯데시네마 월드타워,18,"4,204",0,18,6,1,0,롯데컬처웍스(주)롯데시네마
서울시,관악구,롯데시네마 신림,8,"1,494",0,8,5,0,0,롯데컬처웍스(주)롯데시네마
서울시,관악구,롯데시네마 서울대입구,5,687,0,5,0,0,0,롯데컬처웍스(주)롯데시네마
서울시,금천구,롯데시네마 가산디지털,6,"1,054",0,6,2,1,0,롯데컬처웍스(주)롯데시네마
서울시,강서구,롯데시네마 김포공항,9,"2,095",0,9,6,1,0,롯데컬처웍스(주)롯데시네마
전라북도,전주시,메가박스 전주객사,10,850,0,10,0,0,0,메가박스(주)
서울시,마포구,롯데시네마 합정,4,733,0,4,2,0,0,롯데컬처웍스(주)롯데시네마
서울시,은평구,롯데시네마 은평(롯데몰),8,"1,336",0,8,4,0,0,롯데컬처웍스(주)롯데시네마
서울시,노원구,롯데시네마 노원,10,"1,855",0,10,5,1,0,롯데컬처웍스(주)롯데시네마
부산시,부산진구,CGV 서면,13,"2,480",3,13,7,1,1,CJ올리브네트웍스(주)
서울시,강북구,롯데시네마 수유,6,852,0,6,1,0,0,롯데컬처웍스(주)롯데시네마
서울시,광진구,롯데시네마 건대입구_샤롯데,1,32,0,1,0,0,0,롯데컬처웍스(주)롯데시네마
서울시,강남구,CINE de CHEF 압구정,2,76,0,2,2,0,0,CJ올리브네트웍스(주)
서울시,용산구,롯데시네마 용산,8,"1,468",0,8,2,0,0,롯데컬처웍스(주)롯데시네마
서울시,중구,롯데시네마 에비뉴엘(명동)_샤롯데,1,34,0,1,0,0,0,롯데컬처웍스(주)롯데시네마
서울시,중구,롯데시네마 에비뉴엘(명동),4,676,0,4,2,0,0,롯데컬처웍스(주)롯데시네마
서울시,영등포구,CGV 여의도,9,"1,133",0,9,9,1,0,CJ올리브네트웍스(주)
대전시,유성구,메가박스 대전현대아울렛,7,"1,177",0,7,0,0,0,메가박스(주)
대전시,유성구,메가박스 대전신세계 아트앤사이언스,7,976,0,7,0,0,0,메가박스(주)
대전시,유성구,메가박스 대전유성,5,923,0,5,2,0,0,메가박스(주)
대전시,서구,메가박스 대전,8,"1,333",0,8,3,0,0,메가박스(주)
대전시,중구,메가박스 대전중앙로,8,"1,124",0,8,0,0,0,메가박스(주)
서울시,노원구,CGV 하계,4,898,0,4,3,0,0,CJ올리브네트웍스(주)
서울시,도봉구,CGV 방학,7,870,0,7,1,1,0,CJ올리브네트웍스(주)
광주시,광산구,메가박스 광주하남,10,918,0,10,2,0,0,메가박스(주)
광주시,광산구,메가박스 첨단,9,"1,157",0,9,2,0,0,메가박스(주)
광주시,북구,메가박스 전대(광주),7,958,0,7,2,0,0,메가박스(주)
광주시,서구,메가박스 광주상무,10,837,0,10,0,0,0,메가박스(주)
인천시,서구,메가박스 청라지젤,7,784,0,7,1,0,0,메가박스(주)
인천시,서구,메가박스 검단,5,771,0,5,1,0,0,메가박스(주)
인천시,남동구,메가박스 인천논현,8,"1,189",0,8,0,0,0,메가박스(주)
인천시,연수구,메가박스 송도,8,"1,542",0,8,2,0,0,메가박스(주)
대구시,북구,메가박스 북대구(칠곡),6,826,0,6,2,0,0,메가박스(주)
대구시,동구,메가박스 대구이시아,7,630,0,7,1,0,0,메가박스(주)
대구시,동구,메가박스 대구신세계,6,901,0,6,2,0,0,메가박스(주)
부산시,사상구,메가박스 사상,7,"1,319",0,7,5,0,0,메가박스(주)
서울시,강남구,메가박스 코엑스,20,"3,539",0,20,3,0,0,메가박스(주)
서울시,서초구,메가박스 센트럴,5,680,0,5,1,0,0,메가박스(주)
서울시,서초구,메가박스 강남,7,973,0,7,2,0,0,메가박스(주)
서울시,양천구,메가박스 더 부티크 목동현대백화점,8,883,0,8,2,0,0,메가박스(주)
서울시,강서구,메가박스 화곡,5,851,0,5,0,0,0,메가박스(주)
대구시,달서구,CGV 대구죽전,7,852,0,7,2,1,0,CJ올리브네트웍스(주)
경기도,수원시,CGV 북수원,8,"1,268",0,10,4,0,0,CJ올리브네트웍스(주)
서울시,마포구,메가박스 홍대,5,726,0,5,0,0,0,메가박스(주)
서울시,도봉구,메가박스 창동,5,680,0,5,0,0,0,메가박스(주)
인천시,남동구,CGV 인천논현,5,477,0,5,2,0,0,CJ올리브네트웍스(주)
경상남도,양산시,메가박스 양산증산,7,777,0,7,0,0,0,메가박스(주)
경기도,고양시,메가박스 백석벨라시타,5,749,0,5,1,0,0,메가박스(주)
경상북도,영양군,영양 작은영화관,1,93,0,1,0,0,0,(주)디트릭스
경상북도,의성군,의성작은영화관,2,94,0,2,1,0,0,(주)디트릭스
